Area,Main means of travel to education,Age group,Sex,Year,Value,Flags
"Total - New Zealand by District Health Board","Bicycle","Total people - age group","Total people - sex","2018",41454,
"Total - New Zealand by District Health Board","Walk or jog","Total people - age group","Total people - sex","2018",235842,
"Total - New Zealand by District Health Board","School bus","Total people - age group","Total people - sex","2018",113400,
"Total - New Zealand by District Health Board","Public bus","Total people - age group","Total people - sex","2018",82152,
"Total - New Zealand by District Health Board","Train","Total people - age group","Total people - sex","2018",21864,
"Total - New Zealand by District Health Board","Ferry","Total people - age group","Total people - sex","2018",1548,
"Total - New Zealand by District Health Board","Other","Total people - age group","Total people - sex","2018",15183,
"Northland Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",40173,
"Northland Region","Study at home","Total people - age group","Total people - sex","2018",2829,
"Northland Region","Drive a car, truck or van","Total people - age group","Total people - sex","2018",3801,
"Northland Region","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",17058,
"Northland Region","Bicycle","Total people - age group","Total people - sex","2018",492,
"Northland Region","Walk or jog","Total people - age group","Total people - sex","2018",4818,
"Northland Region","School bus","Total people - age group","Total people - sex","2018",10227,
"Northland Region","Public bus","Total people - age group","Total people - sex","2018",555,
"Northland Region","Train","Total people - age group","Total people - sex","2018",21,
"Northland Region","Ferry","Total people - age group","Total people - sex","2018",18,
"Northland Region","Other","Total people - age group","Total people - sex","2018",357,
"Auckland Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",401631,
"Auckland Region","Study at home","Total people - age group","Total people - sex","2018",15624,
"Auckland Region","Drive a car, truck or van","Total people - age group","Total people - sex","2018",45618,
"Auckland Region","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",155037,
"Auckland Region","Bicycle","Total people - age group","Total people - sex","2018",5967,
"Auckland Region","Walk or jog","Total people - age group","Total people - sex","2018",84459,
"Auckland Region","School bus","Total people - age group","Total people - sex","2018",27045,
"Auckland Region","Public bus","Total people - age group","Total people - sex","2018",46212,
"Auckland Region","Train","Total people - age group","Total people - sex","2018",15186,
"Auckland Region","Ferry","Total people - age group","Total people - sex","2018",1368,
"Auckland Region","Other","Total people - age group","Total people - sex","2018",5115,
"Waikato Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",113370,
"Waikato Region","Study at home","Total people - age group","Total people - sex","2018",6486,
"Waikato Region","Drive a car, truck or van","Total people - age group","Total people - sex","2018",14580,
"Waikato Region","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",48792,
"Waikato Region","Bicycle","Total people - age group","Total people - sex","2018",4248,
"Waikato Region","Walk or jog","Total people - age group","Total people - sex","2018",19506,
"Waikato Region","School bus","Total people - age group","Total people - sex","2018",13545,
"Waikato Region","Public bus","Total people - age group","Total people - sex","2018",4902,
"Bay of Plenty Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",72021,
"Bay of Plenty Region","Study at home","Total people - age group","Total people - sex","2018",4245,
"Bay of Plenty Region","Drive a car, truck or van","Total people - age group","Total people - sex","2018",8433,
"Bay of Plenty Region","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",30195,
"Bay of Plenty Region","Bicycle","Total people - age group","Total people - sex","2018",3978,
"Bay of Plenty Region","Walk or jog","Total people - age group","Total people - sex","2018",11400,
"Bay of Plenty Region","School bus","Total people - age group","Total people - sex","2018",10566,
"Bay of Plenty Region","Public bus","Total people - age group","Total people - sex","2018",2313,
"Bay of Plenty Region","Train","Total people - age group","Total people - sex","2018",24,
"Bay of Plenty Region","Ferry","Total people - age group","Total people - sex","2018",18,
"Bay of Plenty Region","Other","Total people - age group","Total people - sex","2018",843,
"Gisborne Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",12138,
"Gisborne Region","Study at home","Total people - age group","Total people - sex","2018",708,
"Gisborne Region","Drive a car, truck or van","Total people - age group","Total people - sex","2018",1227,
"Gisborne Region","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",5517,
"Gisborne Region","Bicycle","Total people - age group","Total people - sex","2018",441,
"Gisborne Region","Walk or jog","Total people - age group","Total people - sex","2018",2055,
"Gisborne Region","School bus","Total people - age group","Total people - sex","2018",1875,
"Gisborne Region","Public bus","Total people - age group","Total people - sex","2018",108,
"Gisborne Region","Train","Total people - age group","Total people - sex","2018",3,
"Gisborne Region","Ferry","Total people - age group","Total people - sex","2018",0,
"Gisborne Region","Other","Total people - age group","Total people - sex","2018",201,
"Hawke's Bay Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",38505,
"Hawke's Bay Region","Study at home","Total people - age group","Total people - sex","2018",2430,
"Hawke's Bay Region","Drive a car, truck or van","Total people - age group","Total people - sex","2018",3909,
"Hawke's Bay Region","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",16995,
"Hawke's Bay Region","Bicycle","Total people - age group","Total people - sex","2018",1845,
"Hawke's Bay Region","Walk or jog","Total people - age group","Total people - sex","2018",7206,
"Hawke's Bay Region","School bus","Total people - age group","Total people - sex","2018",4536,
"Hawke's Bay Region","Public bus","Total people - age group","Total people - sex","2018",978,
"Hawke's Bay Region","Train","Total people - age group","Total people - sex","2018",12,
"Hawke's Bay Region","Ferry","Total people - age group","Total people - sex","2018",6,
"Hawke's Bay Region","Other","Total people - age group","Total people - sex","2018",588,
"Taranaki Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",27147,
"Taranaki Region","Study at home","Total people - age group","Total people - sex","2018",2175,
"Taranaki Region","Drive a car, truck or van","Total people - age group","Total people - sex","2018",2394,
"Taranaki Region","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",12288,
"Taranaki Region","Bicycle","Total people - age group","Total people - sex","2018",1083,
"Taranaki Region","Walk or jog","Total people - age group","Total people - sex","2018",4641,
"Taranaki Region","School bus","Total people - age group","Total people - sex","2018",3675,
"Taranaki Region","Public bus","Total people - age group","Total people - sex","2018",540,
"Taranaki Region","Train","Total people - age group","Total people - sex","2018",6,
"Taranaki Region","Ferry","Total people - age group","Total people - sex","2018",3,
"Taranaki Region","Other","Total people - age group","Total people - sex","2018",348,
"Manawatu-Wanganui Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",57984,
"Manawatu-Wanganui Region","Study at home","Total people - age group","Total people - sex","2018",4389,
"Manawatu-Wanganui Region","Drive a car, truck or van","Total people - age group","Total people - sex","2018",6636,
"Manawatu-Wanganui Region","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",24714,
"Manawatu-Wanganui Region","Bicycle","Total people - age group","Total people - sex","2018",2424,
"Manawatu-Wanganui Region","Walk or jog","Total people - age group","Total people - sex","2018",10440,
"Manawatu-Wanganui Region","School bus","Total people - age group","Total people - sex","2018",5877,
"Manawatu-Wanganui Region","Public bus","Total people - age group","Total people - sex","2018",2709,
"Manawatu-Wanganui Region","Train","Total people - age group","Total people - sex","2018",72,
"Manawatu-Wanganui Region","Ferry","Total people - age group","Total people - sex","2018",3,
"Manawatu-Wanganui Region","Other","Total people - age group","Total people - sex","2018",726,
"Wellington Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",127185,
"Wellington Region","Study at home","Total people - age group","Total people - sex","2018",7443,
"Wellington Region","Drive a car, truck or van","Total people - age group","Total people - sex","2018",9705,
"Wellington Region","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",44049,
"Wellington Region","Bicycle","Total people - age group","Total people - sex","2018",3723,
"Wellington Region","Walk or jog","Total people - age group","Total people - sex","2018",32802,
"Wellington Region","School bus","Total people - age group","Total people - sex","2018",9645,
"Wellington Region","Public bus","Total people - age group","Total people - sex","2018",11433,
"Wellington Region","Train","Total people - age group","Total people - sex","2018",6339,
"Wellington Region","Ferry","Total people - age group","Total people - sex","2018",78,
"Wellington Region","Other","Total people - age group","Total people - sex","2018",1977,
"Tasman Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",11289,
"Tasman Region","Study at home","Total people - age group","Total people - sex","2018",936,
"Tasman Region","Drive a car, truck or van","Total people - age group","Total people - sex","2018",1008,
"Tasman Region","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",3900,
"Tasman Region","Bicycle","Total people - age group","Total people - sex","2018",879,
"Tasman Region","Walk or jog","Total people - age group","Total people - sex","2018",1944,
"Tasman Region","School bus","Total people - age group","Total people - sex","2018",2340,
"Tasman Region","Public bus","Total people - age group","Total people - sex","2018",114,
"Nelson Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",11358,
"Nelson Region","Study at home","Total people - age group","Total people - sex","2018",765,
"Nelson Region","Drive a car, truck or van","Total people - age group","Total people - sex","2018",1269,
"Nelson Region","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",3903,
"Nelson Region","Bicycle","Total people - age group","Total people - sex","2018",1263,
"Nelson Region","Walk or jog","Total people - age group","Total people - sex","2018",2961,
"Nelson Region","School bus","Total people - age group","Total people - sex","2018",708,
"Nelson Region","Public bus","Total people - age group","Total people - sex","2018",252,
"Nelson Region","Train","Total people - age group","Total people - sex","2018",3,
"Nelson Region","Ferry","Total people - age group","Total people - sex","2018",3,
"Nelson Region","Other","Total people - age group","Total people - sex","2018",228,
"Marlborough Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",9072,
"Marlborough Region","Study at home","Total people - age group","Total people - sex","2018",759,
"Marlborough Region","Drive a car, truck or van","Total people - age group","Total people - sex","2018",819,
"Marlborough Region","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",3822,
"Marlborough Region","Bicycle","Total people - age group","Total people - sex","2018",837,
"Marlborough Region","Walk or jog","Total people - age group","Total people - sex","2018",1506,
"Marlborough Region","School bus","Total people - age group","Total people - sex","2018",1104,
"Marlborough Region","Public bus","Total people - age group","Total people - sex","2018",54,
"Marlborough Region","Train","Total people - age group","Total people - sex","2018",3,
"Marlborough Region","Ferry","Total people - age group","Total people - sex","2018",9,
"Marlborough Region","Other","Total people - age group","Total people - sex","2018",159,
"West Coast Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",6168,
"West Coast Region","Study at home","Total people - age group","Total people - sex","2018",579,
"West Coast Region","Drive a car, truck or van","Total people - age group","Total people - sex","2018",387,
"West Coast Region","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",2280,
"West Coast Region","Bicycle","Total people - age group","Total people - sex","2018",234,
"West Coast Region","Walk or jog","Total people - age group","Total people - sex","2018",1323,
"West Coast Region","School bus","Total people - age group","Total people - sex","2018",1260,
"West Coast Region","Public bus","Total people - age group","Total people - sex","2018",33,
"West Coast Region","Train","Total people - age group","Total people - sex","2018",3,
"West Coast Region","Ferry","Total people - age group","Total people - sex","2018",0,
"West Coast Region","Other","Total people - age group","Total people - sex","2018",69,
"Canterbury Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",142044,
"Canterbury Region","Study at home","Total people - age group","Total people - sex","2018",7677,
"Canterbury Region","Drive a car, truck or van","Total people - age group","Total people - sex","2018",19881,
"Canterbury Region","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",52413,
"Canterbury Region","Bicycle","Total people - age group","Total people - sex","2018",10656,
"Canterbury Region","Walk or jog","Total people - age group","Total people - sex","2018",27675,
"Canterbury Region","School bus","Total people - age group","Total people - sex","2018",11598,
"Canterbury Region","Public bus","Total people - age group","Total people - sex","2018",9678,
"Canterbury Region","Train","Total people - age group","Total people - sex","2018",15,
"Canterbury Region","Ferry","Total people - age group","Total people - sex","2018",21,
"Canterbury Region","Other","Total people - age group","Total people - sex","2018",2439,
"Otago Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",58275,
"Otago Region","Study at home","Total people - age group","Total people - sex","2018",3165,
"Otago Region","Drive a car, truck or van","Total people - age group","Total people - sex","2018",6027,
"Otago Region","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",19386,
"Otago Region","Bicycle","Total people - age group","Total people - sex","2018",2292,
"Otago Region","Walk or jog","Total people - age group","Total people - sex","2018",19485,
"Otago Region","School bus","Total people - age group","Total people - sex","2018",5277,
"Otago Region","Public bus","Total people - age group","Total people - sex","2018",2028,
"Otago Region","Train","Total people - age group","Total people - sex","2018",9,
"Otago Region","Ferry","Total people - age group","Total people - sex","2018",9,
"Otago Region","Other","Total people - age group","Total people - sex","2018",603,
"Southland Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",22353,
"Southland Region","Study at home","Total people - age group","Total people - sex","2018",1326,
"Southland Region","Drive a car, truck or van","Total people - age group","Total people - sex","2018",2514,
"Southland Region","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",9240,
"Southland Region","Bicycle","Total people - age group","Total people - sex","2018",1101,
"Southland Region","Walk or jog","Total people - age group","Total people - sex","2018",3597,
"Southland Region","School bus","Total people - age group","Total people - sex","2018",4086,
"Southland Region","Public bus","Total people - age group","Total people - sex","2018",240,
"Southland Region","Train","Total people - age group","Total people - sex","2018",0,
"Southland Region","Ferry","Total people - age group","Total people - sex","2018",0,
"Southland Region","Other","Total people - age group","Total people - sex","2018",246,
"Total - Regional Council Areas","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",1150710,
"Total - Regional Council Areas","Study at home","Total people - age group","Total people - sex","2018",61542,
"Total - Regional Council Areas","Drive a car, truck or van","Total people - age group","Total people - sex","2018",128217,
"Total - Regional Council Areas","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",449586,
"Total - Regional Council Areas","Bicycle","Total people - age group","Total people - sex","2018",41454,
"Total - Regional Council Areas","Walk or jog","Total people - age group","Total people - sex","2018",235815,
"Total - Regional Council Areas","School bus","Total people - age group","Total people - sex","2018",113361,
"Total - Regional Council Areas","Public bus","Total people - age group","Total people - sex","2018",82146,
"Area Outside Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",120,
"Area Outside Region","Study at home","Total people - age group","Total people - sex","2018",15,
"Area Outside Region","Drive a car, truck or van","Total people - age group","Total people - sex","2018",6,
"Area Outside Region","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",18,
"Area Outside Region","Bicycle","Total people - age group","Total people - sex","2018",0,
"Area Outside Region","Walk or jog","Total people - age group","Total people - sex","2018",27,
"Area Outside Region","School bus","Total people - age group","Total people - sex","2018",39,
"Area Outside Region","Public bus","Total people - age group","Total people - sex","2018",6,
"Area Outside Region","Train","Total people - age group","Total people - sex","2018",0,
"Area Outside Region","Ferry","Total people - age group","Total people - sex","2018",0,
"Area Outside Region","Other","Total people - age group","Total people - sex","2018",6,
"Far North District","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",14820,
"Far North District","Study at home","Total people - age group","Total people - sex","2018",1032,
"Far North District","Drive a car, truck or van","Total people - age group","Total people - sex","2018",1206,
"Far North District","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",5550,
"Far North District","Bicycle","Total people - age group","Total people - sex","2018",141,
"Far North District","Walk or jog","Total people - age group","Total people - sex","2018",1701,
"Far North District","School bus","Total people - age group","Total people - sex","2018",4929,
"Far North District","Public bus","Total people - age group","Total people - sex","2018",138,
"Far North District","Train","Total people - age group","Total people - sex","2018",12,
"Far North District","Ferry","Total people - age group","Total people - sex","2018",12,
"Far North District","Other","Total people - age group","Total people - sex","2018",105,
"Whangarei District","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",20844,
"Whangarei District","Study at home","Total people - age group","Total people - sex","2018",1422,
"Whangarei District","Drive a car, truck or van","Total people - age group","Total people - sex","2018",2259,
"Whangarei District","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",9918,
"Whangarei District","Bicycle","Total people - age group","Total people - sex","2018",300,
"Whangarei District","Walk or jog","Total people - age group","Total people - sex","2018",2586,
"Whangarei District","School bus","Total people - age group","Total people - sex","2018",3771,
"Whangarei District","Public bus","Total people - age group","Total people - sex","2018",363,
"Whangarei District","Train","Total people - age group","Total people - sex","2018",9,
"Whangarei District","Ferry","Total people - age group","Total people - sex","2018",3,
"Whangarei District","Other","Total people - age group","Total people - sex","2018",219,
"Kaipara District","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",4512,
"Kaipara District","Study at home","Total people - age group","Total people - sex","2018",378,
"Kaipara District","Drive a car, truck or van","Total people - age group","Total people - sex","2018",336,
"Kaipara District","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",1590,
"Kaipara District","Bicycle","Total people - age group","Total people - sex","2018",54,
"Kaipara District","Walk or jog","Total people - age group","Total people - sex","2018",537,
"Kaipara District","School bus","Total people - age group","Total people - sex","2018",1524,
"Kaipara District","Public bus","Total people - age group","Total people - sex","2018",54,
"Kaipara District","Train","Total people - age group","Total people - sex","2018",0,
"Kaipara District","Ferry","Total people - age group","Total people - sex","2018",0,
"Kaipara District","Other","Total people - age group","Total people - sex","2018",39,
"Auckland","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",401631,
"Auckland","Study at home","Total people - age group","Total people - sex","2018",15624,
"Auckland","Drive a car, truck or van","Total people - age group","Total people - sex","2018",45618,
"Auckland","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",155037,
"Auckland","Bicycle","Total people - age group","Total people - sex","2018",5967,
"Auckland","Walk or jog","Total people - age group","Total people - sex","2018",84459,
"Auckland","School bus","Total people - age group","Total people - sex","2018",27045,
"Auckland","Public bus","Total people - age group","Total people - sex","2018",46212,
"Auckland","Train","Total people - age group","Total people - sex","2018",15186,
"Auckland","Ferry","Total people - age group","Total people - sex","2018",1368,
"Auckland","Other","Total people - age group","Total people - sex","2018",5115,
"Rodney Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",15231,
"Rodney Local Board Area","Study at home","Total people - age group","Total people - sex","2018",924,
"Rodney Local Board Area","Drive a car, truck or van","Total people - age group","Total people - sex","2018",1698,
"Rodney Local Board Area","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",6561,
"Rodney Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",114,
"Rodney Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",1299,
"Rodney Local Board Area","School bus","Total people - age group","Total people - sex","2018",3801,
"Rodney Local Board Area","Public bus","Total people - age group","Total people - sex","2018",627,
"Rodney Local Board Area","Train","Total people - age group","Total people - sex","2018",87,
"Rodney Local Board Area","Ferry","Total people - age group","Total people - sex","2018",9,
"Rodney Local Board Area","Other","Total people - age group","Total people - sex","2018",111,
"Hibiscus and Bays Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",25596,
"Hibiscus and Bays Local Board Area","Study at home","Total people - age group","Total people - sex","2018",1341,
"Hibiscus and Bays Local Board Area","Drive a car, truck or van","Total people - age group","Total people - sex","2018",3210,
"Hibiscus and Bays Local Board Area","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",10221,
"Hibiscus and Bays Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",456,
"Hibiscus and Bays Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",4389,
"Hibiscus and Bays Local Board Area","School bus","Total people - age group","Total people - sex","2018",2655,
"Hibiscus and Bays Local Board Area","Public bus","Total people - age group","Total people - sex","2018",3051,
"Hibiscus and Bays Local Board Area","Train","Total people - age group","Total people - sex","2018",9,
"Hibiscus and Bays Local Board Area","Ferry","Total people - age group","Total people - sex","2018",72,
"Hibiscus and Bays Local Board Area","Other","Total people - age group","Total people - sex","2018",183,
"Upper Harbour Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",16674,
"Upper Harbour Local Board Area","Study at home","Total people - age group","Total people - sex","2018",744,
"Upper Harbour Local Board Area","Drive a car, truck or van","Total people - age group","Total people - sex","2018",2883,
"Upper Harbour Local Board Area","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",6039,
"Upper Harbour Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",234,
"Upper Harbour Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",2418,
"Upper Harbour Local Board Area","School bus","Total people - age group","Total people - sex","2018",1656,
"Upper Harbour Local Board Area","Public bus","Total people - age group","Total people - sex","2018",2460,
"Upper Harbour Local Board Area","Train","Total people - age group","Total people - sex","2018",15,
"Upper Harbour Local Board Area","Ferry","Total people - age group","Total people - sex","2018",102,
"Upper Harbour Local Board Area","Other","Total people - age group","Total people - sex","2018",126,
"Kaipatiki Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",21828,
"Kaipatiki Local Board Area","Study at home","Total people - age group","Total people - sex","2018",960,
"Kaipatiki Local Board Area","Drive a car, truck or van","Total people - age group","Total people - sex","2018",2763,
"Kaipatiki Local Board Area","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",7845,
"Kaipatiki Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",174,
"Kaipatiki Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",3696,
"Kaipatiki Local Board Area","School bus","Total people - age group","Total people - sex","2018",1527,
"Kaipatiki Local Board Area","Public bus","Total people - age group","Total people - sex","2018",4563,
"Kaipatiki Local Board Area","Train","Total people - age group","Total people - sex","2018",30,
"Kaipatiki Local Board Area","Ferry","Total people - age group","Total people - sex","2018",45,
"Kaipatiki Local Board Area","Other","Total people - age group","Total people - sex","2018",222,
"Devonport-Takapuna Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",14922,
"Devonport-Takapuna Local Board Area","Study at home","Total people - age group","Total people - sex","2018",639,
"Devonport-Takapuna Local Board Area","Drive a car, truck or van","Total people - age group","Total people - sex","2018",1620,
"Devonport-Takapuna Local Board Area","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",3900,
"Devonport-Takapuna Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",945,
"Devonport-Takapuna Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",3498,
"Devonport-Takapuna Local Board Area","School bus","Total people - age group","Total people - sex","2018",1431,
"Devonport-Takapuna Local Board Area","Public bus","Total people - age group","Total people - sex","2018",2298,
"Devonport-Takapuna Local Board Area","Train","Total people - age group","Total people - sex","2018",27,
"Devonport-Takapuna Local Board Area","Ferry","Total people - age group","Total people - sex","2018",447,
"Devonport-Takapuna Local Board Area","Other","Total people - age group","Total people - sex","2018",120,
"Henderson-Massey Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",30000,
"Henderson-Massey Local Board Area","Study at home","Total people - age group","Total people - sex","2018",1158,
"Henderson-Massey Local Board Area","Drive a car, truck or van","Total people - age group","Total people - sex","2018",3516,
"Henderson-Massey Local Board Area","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",13965,
"Henderson-Massey Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",408,
"Henderson-Massey Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",4995,
"Henderson-Massey Local Board Area","School bus","Total people - age group","Total people - sex","2018",1149,
"Henderson-Massey Local Board Area","Public bus","Total people - age group","Total people - sex","2018",2457,
"Waitakere Ranges Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",13422,
"Waitakere Ranges Local Board Area","Study at home","Total people - age group","Total people - sex","2018",621,
"Waitakere Ranges Local Board Area","Drive a car, truck or van","Total people - age group","Total people - sex","2018",1506,
"Waitakere Ranges Local Board Area","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",6288,
"Waitakere Ranges Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",111,
"Waitakere Ranges Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",1179,
"Waitakere Ranges Local Board Area","School bus","Total people - age group","Total people - sex","2018",1461,
"Waitakere Ranges Local Board Area","Public bus","Total people - age group","Total people - sex","2018",708,
"Waitakere Ranges Local Board Area","Train","Total people - age group","Total people - sex","2018",1401,
"Waitakere Ranges Local Board Area","Ferry","Total people - age group","Total people - sex","2018",3,
"Waitakere Ranges Local Board Area","Other","Total people - age group","Total people - sex","2018",147,
"Great Barrier Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",138,
"Great Barrier Local Board Area","Study at home","Total people - age group","Total people - sex","2018",15,
"Great Barrier Local Board Area","Drive a car, truck or van","Total people - age group","Total people - sex","2018",9,
"Great Barrier Local Board Area","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",54,
"Great Barrier Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",0,
"Great Barrier Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",27,
"Great Barrier Local Board Area","School bus","Total people - age group","Total people - sex","2018",27,
"Great Barrier Local Board Area","Public bus","Total people - age group","Total people - sex","2018",0,
"Great Barrier Local Board Area","Train","Total people - age group","Total people - sex","2018",0,
"Great Barrier Local Board Area","Ferry","Total people - age group","Total people - sex","2018",0,
"Great Barrier Local Board Area","Other","Total people - age group","Total people - sex","2018",0,
"Waiheke Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",1722,
"Waiheke Local Board Area","Study at home","Total people - age group","Total people - sex","2018",99,
"Waiheke Local Board Area","Drive a car, truck or van","Total people - age group","Total people - sex","2018",72,
"Waiheke Local Board Area","Passenger in a car, truck or van","Total people - age group","Total people - sex","2018",801,
"Waiheke Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",66,
"Waiheke Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",174,
