Area,Main means of travel to education,Age group,Sex,Year,Value,Flags
"Gisborne Region","Train","Total people - age group","Total people - sex","2018",0,
"Hawke's Bay Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",38289,
"Hawke's Bay Region","Study at home","Total people - age group","Total people - sex","2018",2430,
"Hawke's Bay Region","Bicycle","Total people - age group","Total people - sex","2018",1839,
"Hawke's Bay Region","Walk or jog","Total people - age group","Total people - sex","2018",7194,
"Hawke's Bay Region","Public bus","Total people - age group","Total people - sex","2018",954,
"Hawke's Bay Region","Train","Total people - age group","Total people - sex","2018",9,
"Taranaki Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",26625,
"Taranaki Region","Study at home","Total people - age group","Total people - sex","2018",2175,
"Taranaki Region","Bicycle","Total people - age group","Total people - sex","2018",1083,
"Taranaki Region","Walk or jog","Total people - age group","Total people - sex","2018",4521,
"Taranaki Region","Public bus","Total people - age group","Total people - sex","2018",528,
"Taranaki Region","Train","Total people - age group","Total people - sex","2018",6,
"Manawatu-Wanganui Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",57996,
"Manawatu-Wanganui Region","Study at home","Total people - age group","Total people - sex","2018",4389,
"Manawatu-Wanganui Region","Bicycle","Total people - age group","Total people - sex","2018",2436,
"Manawatu-Wanganui Region","Walk or jog","Total people - age group","Total people - sex","2018",10485,
"Manawatu-Wanganui Region","Public bus","Total people - age group","Total people - sex","2018",2721,
"Manawatu-Wanganui Region","Train","Total people - age group","Total people - sex","2018",48,
"Wellington Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",127380,
"Wellington Region","Study at home","Total people - age group","Total people - sex","2018",7443,
"Wellington Region","Bicycle","Total people - age group","Total people - sex","2018",3708,
"Wellington Region","Walk or jog","Total people - age group","Total people - sex","2018",32817,
"Wellington Region","Public bus","Total people - age group","Total people - sex","2018",11406,
"Wellington Region","Train","Total people - age group","Total people - sex","2018",6288,
"Tasman Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",10260,
"Tasman Region","Study at home","Total people - age group","Total people - sex","2018",936,
"Tasman Region","Bicycle","Total people - age group","Total people - sex","2018",861,
"Tasman Region","Walk or jog","Total people - age group","Total people - sex","2018",1851,
"Tasman Region","Public bus","Total people - age group","Total people - sex","2018",69,
"Tasman Region","Train","Total people - age group","Total people - sex","2018",3,
"Nelson Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",12294,
"Nelson Region","Study at home","Total people - age group","Total people - sex","2018",765,
"Nelson Region","Bicycle","Total people - age group","Total people - sex","2018",1269,
"Nelson Region","Walk or jog","Total people - age group","Total people - sex","2018",3045,
"Nelson Region","Public bus","Total people - age group","Total people - sex","2018",303,
"Nelson Region","Train","Total people - age group","Total people - sex","2018",3,
"Marlborough Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",8841,
"Marlborough Region","Study at home","Total people - age group","Total people - sex","2018",759,
"Marlborough Region","Bicycle","Total people - age group","Total people - sex","2018",828,
"Marlborough Region","Walk or jog","Total people - age group","Total people - sex","2018",1398,
"Marlborough Region","Public bus","Total people - age group","Total people - sex","2018",51,
"Marlborough Region","Train","Total people - age group","Total people - sex","2018",3,
"West Coast Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",6006,
"West Coast Region","Study at home","Total people - age group","Total people - sex","2018",579,
"West Coast Region","Bicycle","Total people - age group","Total people - sex","2018",234,
"West Coast Region","Walk or jog","Total people - age group","Total people - sex","2018",1212,
"West Coast Region","Public bus","Total people - age group","Total people - sex","2018",30,
"West Coast Region","Train","Total people - age group","Total people - sex","2018",3,
"Canterbury Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",142104,
"Canterbury Region","Study at home","Total people - age group","Total people - sex","2018",7677,
"Canterbury Region","Bicycle","Total people - age group","Total people - sex","2018",10650,
"Canterbury Region","Walk or jog","Total people - age group","Total people - sex","2018",27969,
"Canterbury Region","Public bus","Total people - age group","Total people - sex","2018",9651,
"Canterbury Region","Train","Total people - age group","Total people - sex","2018",18,
"Otago Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",58722,
"Otago Region","Study at home","Total people - age group","Total people - sex","2018",3165,
"Otago Region","Bicycle","Total people - age group","Total people - sex","2018",2286,
"Otago Region","Walk or jog","Total people - age group","Total people - sex","2018",20025,
"Otago Region","Public bus","Total people - age group","Total people - sex","2018",2052,
"Otago Region","Train","Total people - age group","Total people - sex","2018",18,
"Southland Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",22287,
"Southland Region","Study at home","Total people - age group","Total people - sex","2018",1326,
"Southland Region","Bicycle","Total people - age group","Total people - sex","2018",1092,
"Southland Region","Walk or jog","Total people - age group","Total people - sex","2018",3513,
"Southland Region","Public bus","Total people - age group","Total people - sex","2018",237,
"Southland Region","Train","Total people - age group","Total people - sex","2018",9,
"Total - Regional Council Areas","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",1150728,
"Total - Regional Council Areas","Study at home","Total people - age group","Total people - sex","2018",61542,
"Total - Regional Council Areas","Bicycle","Total people - age group","Total people - sex","2018",41454,
"Total - Regional Council Areas","Walk or jog","Total people - age group","Total people - sex","2018",235830,
"Total - Regional Council Areas","Public bus","Total people - age group","Total people - sex","2018",82146,
"Total - Regional Council Areas","Train","Total people - age group","Total people - sex","2018",21864,
"Response Unidentifiable","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",2553,
"Response Unidentifiable","Study at home","Total people - age group","Total people - sex","2018",0,
"Response Unidentifiable","Bicycle","Total people - age group","Total people - sex","2018",45,
"Response Unidentifiable","Walk or jog","Total people - age group","Total people - sex","2018",336,
"Response Unidentifiable","Public bus","Total people - age group","Total people - sex","2018",63,
"Response Unidentifiable","Train","Total people - age group","Total people - sex","2018",3,
"New Zealand not further defined","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",0,
"New Zealand not further defined","Study at home","Total people - age group","Total people - sex","2018",,c
"New Zealand not further defined","Bicycle","Total people - age group","Total people - sex","2018",,c
"New Zealand not further defined","Walk or jog","Total people - age group","Total people - sex","2018",,c
"New Zealand not further defined","Public bus","Total people - age group","Total people - sex","2018",,c
"New Zealand not further defined","Train","Total people - age group","Total people - sex","2018",,c
"Area Outside Region","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",102,
"Area Outside Region","Study at home","Total people - age group","Total people - sex","2018",15,
"Area Outside Region","Bicycle","Total people - age group","Total people - sex","2018",0,
"Area Outside Region","Walk or jog","Total people - age group","Total people - sex","2018",15,
"Area Outside Region","Public bus","Total people - age group","Total people - sex","2018",3,
"Area Outside Region","Train","Total people - age group","Total people - sex","2018",0,
"Response Outside Scope or Overseas","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",0,
"Response Outside Scope or Overseas","Study at home","Total people - age group","Total people - sex","2018",,c
"Response Outside Scope or Overseas","Bicycle","Total people - age group","Total people - sex","2018",,c
"Response Outside Scope or Overseas","Walk or jog","Total people - age group","Total people - sex","2018",,c
"Response Outside Scope or Overseas","Public bus","Total people - age group","Total people - sex","2018",,c
"Response Outside Scope or Overseas","Train","Total people - age group","Total people - sex","2018",,c
"Far North District","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",10044,
"Far North District","Study at home","Total people - age group","Total people - sex","2018",1032,
"Far North District","Bicycle","Total people - age group","Total people - sex","2018",96,
"Far North District","Walk or jog","Total people - age group","Total people - sex","2018",1026,
"Far North District","Public bus","Total people - age group","Total people - sex","2018",84,
"Far North District","Train","Total people - age group","Total people - sex","2018",9,
"Whangarei District","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",16719,
"Whangarei District","Study at home","Total people - age group","Total people - sex","2018",1422,
"Whangarei District","Bicycle","Total people - age group","Total people - sex","2018",222,
"Whangarei District","Walk or jog","Total people - age group","Total people - sex","2018",1857,
"Whangarei District","Public bus","Total people - age group","Total people - sex","2018",270,
"Whangarei District","Train","Total people - age group","Total people - sex","2018",3,
"Kaipara District","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",3174,
"Kaipara District","Study at home","Total people - age group","Total people - sex","2018",378,
"Kaipara District","Bicycle","Total people - age group","Total people - sex","2018",39,
"Kaipara District","Walk or jog","Total people - age group","Total people - sex","2018",345,
"Kaipara District","Public bus","Total people - age group","Total people - sex","2018",24,
"Kaipara District","Train","Total people - age group","Total people - sex","2018",0,
"Auckland","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",331092,
"Auckland","Study at home","Total people - age group","Total people - sex","2018",15624,
"Auckland","Bicycle","Total people - age group","Total people - sex","2018",5298,
"Auckland","Walk or jog","Total people - age group","Total people - sex","2018",68394,
"Auckland","Public bus","Total people - age group","Total people - sex","2018",40152,
"Auckland","Train","Total people - age group","Total people - sex","2018",12738,
"Unable to code to Auckland Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",25263,
"Unable to code to Auckland Local Board Area","Study at home","Total people - age group","Total people - sex","2018",0,
"Unable to code to Auckland Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",231,
"Unable to code to Auckland Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",4623,
"Unable to code to Auckland Local Board Area","Public bus","Total people - age group","Total people - sex","2018",2844,
"Unable to code to Auckland Local Board Area","Train","Total people - age group","Total people - sex","2018",1074,
"Rodney Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",8226,
"Rodney Local Board Area","Study at home","Total people - age group","Total people - sex","2018",924,
"Rodney Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",93,
"Rodney Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",930,
"Rodney Local Board Area","Public bus","Total people - age group","Total people - sex","2018",72,
"Rodney Local Board Area","Train","Total people - age group","Total people - sex","2018",0,
"Hibiscus and Bays Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",16122,
"Hibiscus and Bays Local Board Area","Study at home","Total people - age group","Total people - sex","2018",1341,
"Hibiscus and Bays Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",372,
"Hibiscus and Bays Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",3303,
"Hibiscus and Bays Local Board Area","Public bus","Total people - age group","Total people - sex","2018",399,
"Hibiscus and Bays Local Board Area","Train","Total people - age group","Total people - sex","2018",6,
"Upper Harbour Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",19974,
"Upper Harbour Local Board Area","Study at home","Total people - age group","Total people - sex","2018",744,
"Upper Harbour Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",240,
"Upper Harbour Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",2649,
"Upper Harbour Local Board Area","Public bus","Total people - age group","Total people - sex","2018",1632,
"Upper Harbour Local Board Area","Train","Total people - age group","Total people - sex","2018",171,
"Kaipatiki Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",11316,
"Kaipatiki Local Board Area","Study at home","Total people - age group","Total people - sex","2018",960,
"Kaipatiki Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",96,
"Kaipatiki Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",2724,
"Kaipatiki Local Board Area","Public bus","Total people - age group","Total people - sex","2018",936,
"Kaipatiki Local Board Area","Train","Total people - age group","Total people - sex","2018",93,
"Devonport-Takapuna Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",14166,
"Devonport-Takapuna Local Board Area","Study at home","Total people - age group","Total people - sex","2018",639,
"Devonport-Takapuna Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",858,
"Devonport-Takapuna Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",3192,
"Devonport-Takapuna Local Board Area","Public bus","Total people - age group","Total people - sex","2018",1848,
"Devonport-Takapuna Local Board Area","Train","Total people - age group","Total people - sex","2018",15,
"Henderson-Massey Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",16482,
"Henderson-Massey Local Board Area","Study at home","Total people - age group","Total people - sex","2018",1158,
"Henderson-Massey Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",285,
"Henderson-Massey Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",3435,
"Henderson-Massey Local Board Area","Public bus","Total people - age group","Total people - sex","2018",828,
"Henderson-Massey Local Board Area","Train","Total people - age group","Total people - sex","2018",423,
"Waitakere Ranges Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",5913,
"Waitakere Ranges Local Board Area","Study at home","Total people - age group","Total people - sex","2018",621,
"Waitakere Ranges Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",66,
"Waitakere Ranges Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",789,
"Waitakere Ranges Local Board Area","Public bus","Total people - age group","Total people - sex","2018",66,
"Waitakere Ranges Local Board Area","Train","Total people - age group","Total people - sex","2018",15,
"Great Barrier Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",63,
"Great Barrier Local Board Area","Study at home","Total people - age group","Total people - sex","2018",15,
"Great Barrier Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",0,
"Great Barrier Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",9,
"Great Barrier Local Board Area","Public bus","Total people - age group","Total people - sex","2018",0,
"Great Barrier Local Board Area","Train","Total people - age group","Total people - sex","2018",0,
"Waiheke Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",1071,
"Waiheke Local Board Area","Study at home","Total people - age group","Total people - sex","2018",99,
"Waiheke Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",51,
"Waiheke Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",120,
"Waiheke Local Board Area","Public bus","Total people - age group","Total people - sex","2018",15,
"Waiheke Local Board Area","Train","Total people - age group","Total people - sex","2018",0,
"Waitemata Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",62538,
"Waitemata Local Board Area","Study at home","Total people - age group","Total people - sex","2018",1035,
"Waitemata Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",894,
"Waitemata Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",10764,
"Waitemata Local Board Area","Public bus","Total people - age group","Total people - sex","2018",22446,
"Waitemata Local Board Area","Train","Total people - age group","Total people - sex","2018",7332,
"Whau Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",11103,
"Whau Local Board Area","Study at home","Total people - age group","Total people - sex","2018",642,
"Whau Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",126,
"Whau Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",2538,
"Whau Local Board Area","Public bus","Total people - age group","Total people - sex","2018",828,
"Whau Local Board Area","Train","Total people - age group","Total people - sex","2018",450,
"Albert-Eden Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",26400,
"Albert-Eden Local Board Area","Study at home","Total people - age group","Total people - sex","2018",921,
"Albert-Eden Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",705,
"Albert-Eden Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",6624,
"Albert-Eden Local Board Area","Public bus","Total people - age group","Total people - sex","2018",2961,
"Albert-Eden Local Board Area","Train","Total people - age group","Total people - sex","2018",1383,
"Puketapapa Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",7947,
"Puketapapa Local Board Area","Study at home","Total people - age group","Total people - sex","2018",462,
"Puketapapa Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",120,
"Puketapapa Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",2229,
"Puketapapa Local Board Area","Public bus","Total people - age group","Total people - sex","2018",576,
"Puketapapa Local Board Area","Train","Total people - age group","Total people - sex","2018",15,
"Orakei Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",14793,
"Orakei Local Board Area","Study at home","Total people - age group","Total people - sex","2018",777,
"Orakei Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",267,
"Orakei Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",3675,
"Orakei Local Board Area","Public bus","Total people - age group","Total people - sex","2018",792,
"Orakei Local Board Area","Train","Total people - age group","Total people - sex","2018",363,
"Maungakiekie-Tamaki Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",8445,
"Maungakiekie-Tamaki Local Board Area","Study at home","Total people - age group","Total people - sex","2018",675,
"Maungakiekie-Tamaki Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",78,
"Maungakiekie-Tamaki Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",2016,
"Maungakiekie-Tamaki Local Board Area","Public bus","Total people - age group","Total people - sex","2018",432,
"Maungakiekie-Tamaki Local Board Area","Train","Total people - age group","Total people - sex","2018",168,
"Howick Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",26580,
"Howick Local Board Area","Study at home","Total people - age group","Total people - sex","2018",1263,
"Howick Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",306,
"Howick Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",7176,
"Howick Local Board Area","Public bus","Total people - age group","Total people - sex","2018",1377,
"Howick Local Board Area","Train","Total people - age group","Total people - sex","2018",36,
"Mangere-Otahuhu Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",9750,
"Mangere-Otahuhu Local Board Area","Study at home","Total people - age group","Total people - sex","2018",528,
"Mangere-Otahuhu Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",72,
"Mangere-Otahuhu Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",2031,
"Mangere-Otahuhu Local Board Area","Public bus","Total people - age group","Total people - sex","2018",357,
"Mangere-Otahuhu Local Board Area","Train","Total people - age group","Total people - sex","2018",522,
"Otara-Papatoetoe Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",15465,
"Otara-Papatoetoe Local Board Area","Study at home","Total people - age group","Total people - sex","2018",462,
"Otara-Papatoetoe Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",45,
"Otara-Papatoetoe Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",2970,
"Otara-Papatoetoe Local Board Area","Public bus","Total people - age group","Total people - sex","2018",1218,
"Otara-Papatoetoe Local Board Area","Train","Total people - age group","Total people - sex","2018",489,
"Manurewa Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",10614,
"Manurewa Local Board Area","Study at home","Total people - age group","Total people - sex","2018",768,
"Manurewa Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",69,
"Manurewa Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",3021,
"Manurewa Local Board Area","Public bus","Total people - age group","Total people - sex","2018",312,
"Manurewa Local Board Area","Train","Total people - age group","Total people - sex","2018",108,
"Papakura Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",7329,
"Papakura Local Board Area","Study at home","Total people - age group","Total people - sex","2018",633,
"Papakura Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",84,
"Papakura Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",1647,
"Papakura Local Board Area","Public bus","Total people - age group","Total people - sex","2018",120,
"Papakura Local Board Area","Train","Total people - age group","Total people - sex","2018",39,
"Franklin Local Board Area","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",11523,
"Franklin Local Board Area","Study at home","Total people - age group","Total people - sex","2018",966,
"Franklin Local Board Area","Bicycle","Total people - age group","Total people - sex","2018",240,
"Franklin Local Board Area","Walk or jog","Total people - age group","Total people - sex","2018",1926,
"Franklin Local Board Area","Public bus","Total people - age group","Total people - sex","2018",87,
"Franklin Local Board Area","Train","Total people - age group","Total people - sex","2018",33,
"Thames-Coromandel District","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",3738,
"Thames-Coromandel District","Study at home","Total people - age group","Total people - sex","2018",408,
"Thames-Coromandel District","Bicycle","Total people - age group","Total people - sex","2018",189,
"Thames-Coromandel District","Walk or jog","Total people - age group","Total people - sex","2018",618,
"Thames-Coromandel District","Public bus","Total people - age group","Total people - sex","2018",24,
"Thames-Coromandel District","Train","Total people - age group","Total people - sex","2018",0,
"Hauraki District","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",3252,
"Hauraki District","Study at home","Total people - age group","Total people - sex","2018",306,
"Hauraki District","Bicycle","Total people - age group","Total people - sex","2018",99,
"Hauraki District","Walk or jog","Total people - age group","Total people - sex","2018",498,
"Hauraki District","Public bus","Total people - age group","Total people - sex","2018",21,
"Hauraki District","Train","Total people - age group","Total people - sex","2018",0,
"Waikato District","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",11112,
"Waikato District","Study at home","Total people - age group","Total people - sex","2018",1059,
"Waikato District","Bicycle","Total people - age group","Total people - sex","2018",189,
"Waikato District","Walk or jog","Total people - age group","Total people - sex","2018",1215,
"Waikato District","Public bus","Total people - age group","Total people - sex","2018",108,
"Waikato District","Train","Total people - age group","Total people - sex","2018",12,
"Matamata-Piako District","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",5505,
"Matamata-Piako District","Study at home","Total people - age group","Total people - sex","2018",414,
"Matamata-Piako District","Bicycle","Total people - age group","Total people - sex","2018",162,
"Matamata-Piako District","Walk or jog","Total people - age group","Total people - sex","2018",858,
"Matamata-Piako District","Public bus","Total people - age group","Total people - sex","2018",45,
"Matamata-Piako District","Train","Total people - age group","Total people - sex","2018",3,
"Hamilton City","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",44442,
"Hamilton City","Study at home","Total people - age group","Total people - sex","2018",2088,
"Hamilton City","Bicycle","Total people - age group","Total people - sex","2018",2118,
"Hamilton City","Walk or jog","Total people - age group","Total people - sex","2018",8721,
"Hamilton City","Public bus","Total people - age group","Total people - sex","2018",3609,
"Hamilton City","Train","Total people - age group","Total people - sex","2018",9,
"Waipa District","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",11016,
"Waipa District","Study at home","Total people - age group","Total people - sex","2018",888,
"Waipa District","Bicycle","Total people - age group","Total people - sex","2018",477,
"Waipa District","Walk or jog","Total people - age group","Total people - sex","2018",1404,
"Waipa District","Public bus","Total people - age group","Total people - sex","2018",72,
"Waipa District","Train","Total people - age group","Total people - sex","2018",3,
"Otorohanga District","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",1452,
"Otorohanga District","Study at home","Total people - age group","Total people - sex","2018",174,
"Otorohanga District","Bicycle","Total people - age group","Total people - sex","2018",24,
"Otorohanga District","Walk or jog","Total people - age group","Total people - sex","2018",153,
"Otorohanga District","Public bus","Total people - age group","Total people - sex","2018",12,
"Otorohanga District","Train","Total people - age group","Total people - sex","2018",0,
"South Waikato District","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",3777,
"South Waikato District","Study at home","Total people - age group","Total people - sex","2018",342,
"South Waikato District","Bicycle","Total people - age group","Total people - sex","2018",99,
"South Waikato District","Walk or jog","Total people - age group","Total people - sex","2018",831,
"South Waikato District","Public bus","Total people - age group","Total people - sex","2018",15,
"South Waikato District","Train","Total people - age group","Total people - sex","2018",0,
"Waitomo District","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",1491,
"Waitomo District","Study at home","Total people - age group","Total people - sex","2018",126,
"Waitomo District","Bicycle","Total people - age group","Total people - sex","2018",21,
"Waitomo District","Walk or jog","Total people - age group","Total people - sex","2018",270,
"Waitomo District","Public bus","Total people - age group","Total people - sex","2018",9,
"Waitomo District","Train","Total people - age group","Total people - sex","2018",0,
"Taupo District","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",5916,
"Taupo District","Study at home","Total people - age group","Total people - sex","2018",636,
"Taupo District","Bicycle","Total people - age group","Total people - sex","2018",180,
"Taupo District","Walk or jog","Total people - age group","Total people - sex","2018",975,
"Taupo District","Public bus","Total people - age group","Total people - sex","2018",57,
"Taupo District","Train","Total people - age group","Total people - sex","2018",3,
"Western Bay of Plenty District","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",6570,
"Western Bay of Plenty District","Study at home","Total people - age group","Total people - sex","2018",729,
"Western Bay of Plenty District","Bicycle","Total people - age group","Total people - sex","2018",150,
"Western Bay of Plenty District","Walk or jog","Total people - age group","Total people - sex","2018",822,
"Western Bay of Plenty District","Public bus","Total people - age group","Total people - sex","2018",66,
"Western Bay of Plenty District","Train","Total people - age group","Total people - sex","2018",3,
"Tauranga City","Total people - main means of travel to education","Total people - age group","Total people - sex","2018",28047,
"Tauranga City","Study at home","Total people - age group","Total people - sex","2018",1884,
"Tauranga City","Bicycle","Total people - age group","Total people - sex","2018",2451,
