Area,Main means of travel to work,Age group,Sex,Year,Value,Flags
"Royal Oak West (Auckland)","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",126,
"Royal Oak West (Auckland)","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",51,
"Royal Oak West (Auckland)","Public bus","Total people - age group","Total people - sex","2018",174,
"Royal Oak West (Auckland)","Train","Total people - age group","Total people - sex","2018",15,
"Royal Oak West (Auckland)","Bicycle","Total people - age group","Total people - sex","2018",18,
"Royal Oak West (Auckland)","Walk or jog","Total people - age group","Total people - sex","2018",48,
"Royal Oak West (Auckland)","Ferry","Total people - age group","Total people - sex","2018",0,
"Saint Heliers West","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1836,
"Saint Heliers West","Work at home","Total people - age group","Total people - sex","2018",279,
"Saint Heliers West","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",1083,
"Saint Heliers West","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",192,
"Saint Heliers West","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",33,
"Saint Heliers West","Public bus","Total people - age group","Total people - sex","2018",114,
"Saint Heliers West","Train","Total people - age group","Total people - sex","2018",33,
"Saint Heliers West","Bicycle","Total people - age group","Total people - sex","2018",51,
"Saint Heliers West","Walk or jog","Total people - age group","Total people - sex","2018",24,
"Saint Heliers West","Ferry","Total people - age group","Total people - sex","2018",0,
"One Tree Hill","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",2691,
"One Tree Hill","Work at home","Total people - age group","Total people - sex","2018",222,
"One Tree Hill","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",1635,
"One Tree Hill","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",258,
"One Tree Hill","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",84,
"One Tree Hill","Public bus","Total people - age group","Total people - sex","2018",216,
"One Tree Hill","Train","Total people - age group","Total people - sex","2018",96,
"Saint Heliers North","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",2067,
"Saint Heliers North","Work at home","Total people - age group","Total people - sex","2018",321,
"Saint Heliers North","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",1152,
"Saint Heliers North","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",225,
"Saint Heliers North","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",45,
"Saint Heliers North","Public bus","Total people - age group","Total people - sex","2018",147,
"Saint Heliers North","Train","Total people - age group","Total people - sex","2018",21,
"Saint Heliers North","Bicycle","Total people - age group","Total people - sex","2018",60,
"Saint Heliers North","Walk or jog","Total people - age group","Total people - sex","2018",60,
"Saint Heliers North","Ferry","Total people - age group","Total people - sex","2018",0,
"Saint Heliers North","Other","Total people - age group","Total people - sex","2018",42,
"Meadowbank East","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1509,
"Meadowbank East","Work at home","Total people - age group","Total people - sex","2018",150,
"Meadowbank East","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",882,
"Meadowbank East","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",153,
"Meadowbank East","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",33,
"Meadowbank East","Public bus","Total people - age group","Total people - sex","2018",96,
"Meadowbank East","Train","Total people - age group","Total people - sex","2018",126,
"Meadowbank East","Bicycle","Total people - age group","Total people - sex","2018",24,
"Meadowbank East","Walk or jog","Total people - age group","Total people - sex","2018",24,
"Meadowbank East","Ferry","Total people - age group","Total people - sex","2018",0,
"Ellerslie Central","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1893,
"Ellerslie Central","Work at home","Total people - age group","Total people - sex","2018",165,
"Ellerslie Central","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",999,
"Ellerslie Central","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",180,
"Ellerslie Central","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",39,
"Ellerslie Central","Public bus","Total people - age group","Total people - sex","2018",123,
"Ellerslie Central","Train","Total people - age group","Total people - sex","2018",228,
"Ellerslie Central","Bicycle","Total people - age group","Total people - sex","2018",39,
"Ellerslie Central","Walk or jog","Total people - age group","Total people - sex","2018",93,
"Ellerslie Central","Ferry","Total people - age group","Total people - sex","2018",0,
"Royal Oak East (Auckland)","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1557,
"Royal Oak East (Auckland)","Work at home","Total people - age group","Total people - sex","2018",93,
"Royal Oak East (Auckland)","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",936,
"Royal Oak East (Auckland)","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",129,
"Royal Oak East (Auckland)","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",57,
"Royal Oak East (Auckland)","Public bus","Total people - age group","Total people - sex","2018",204,
"Royal Oak East (Auckland)","Train","Total people - age group","Total people - sex","2018",21,
"Royal Oak East (Auckland)","Bicycle","Total people - age group","Total people - sex","2018",9,
"Royal Oak East (Auckland)","Walk or jog","Total people - age group","Total people - sex","2018",81,
"Royal Oak East (Auckland)","Ferry","Total people - age group","Total people - sex","2018",0,
"Saint Heliers South","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",2154,
"Saint Heliers South","Work at home","Total people - age group","Total people - sex","2018",240,
"Saint Heliers South","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",1251,
"Saint Heliers South","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",222,
"Saint Heliers South","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",78,
"Saint Heliers South","Public bus","Total people - age group","Total people - sex","2018",153,
"Saint Heliers South","Train","Total people - age group","Total people - sex","2018",78,
"Saint Heliers South","Bicycle","Total people - age group","Total people - sex","2018",48,
"Saint Heliers South","Walk or jog","Total people - age group","Total people - sex","2018",45,
"Saint Heliers South","Ferry","Total people - age group","Total people - sex","2018",0,
"Saint Johns West","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1569,
"Saint Johns West","Work at home","Total people - age group","Total people - sex","2018",183,
"Saint Johns West","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",915,
"Saint Johns West","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",162,
"Saint Johns West","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",39,
"Saint Johns West","Public bus","Total people - age group","Total people - sex","2018",114,
"Saint Johns West","Train","Total people - age group","Total people - sex","2018",93,
"Saint Johns West","Bicycle","Total people - age group","Total people - sex","2018",18,
"Saint Johns West","Walk or jog","Total people - age group","Total people - sex","2018",27,
"Saint Johns West","Ferry","Total people - age group","Total people - sex","2018",0,
"Saint Johns West","Other","Total people - age group","Total people - sex","2018",21,
"Remuera Waiatarua","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1329,
"Remuera Waiatarua","Work at home","Total people - age group","Total people - sex","2018",132,
"Remuera Waiatarua","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",750,
"Remuera Waiatarua","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",129,
"Remuera Waiatarua","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",45,
"Remuera Waiatarua","Public bus","Total people - age group","Total people - sex","2018",117,
"Glendowie North","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",2346,
"Glendowie North","Work at home","Total people - age group","Total people - sex","2018",333,
"Glendowie North","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",1359,
"Glendowie North","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",255,
"Glendowie North","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",63,
"Glendowie North","Public bus","Total people - age group","Total people - sex","2018",126,
"Glendowie North","Train","Total people - age group","Total people - sex","2018",51,
"Onehunga West","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",2343,
"Onehunga West","Work at home","Total people - age group","Total people - sex","2018",177,
"Onehunga West","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",1449,
"Onehunga West","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",216,
"Onehunga West","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",69,
"Onehunga West","Public bus","Total people - age group","Total people - sex","2018",177,
"Onehunga West","Train","Total people - age group","Total people - sex","2018",87,
"Ellerslie West","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",105,
"Ellerslie West","Work at home","Total people - age group","Total people - sex","2018",9,
"Ellerslie West","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",45,
"Ellerslie West","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",6,
"Ellerslie West","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",0,
"Ellerslie West","Public bus","Total people - age group","Total people - sex","2018",9,
"Ellerslie West","Train","Total people - age group","Total people - sex","2018",24,
"Ellerslie West","Bicycle","Total people - age group","Total people - sex","2018",3,
"Ellerslie West","Walk or jog","Total people - age group","Total people - sex","2018",9,
"Ellerslie West","Ferry","Total people - age group","Total people - sex","2018",0,
"Ellerslie West","Other","Total people - age group","Total people - sex","2018",3,
"Onehunga North","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",2109,
"Onehunga North","Work at home","Total people - age group","Total people - sex","2018",153,
"Onehunga North","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",1284,
"Onehunga North","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",195,
"Onehunga North","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",78,
"Onehunga North","Public bus","Total people - age group","Total people - sex","2018",174,
"Onehunga North","Train","Total people - age group","Total people - sex","2018",63,
"Ellerslie East","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1848,
"Ellerslie East","Work at home","Total people - age group","Total people - sex","2018",132,
"Ellerslie East","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",1101,
"Ellerslie East","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",192,
"Ellerslie East","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",45,
"Ellerslie East","Public bus","Total people - age group","Total people - sex","2018",129,
"Ellerslie East","Train","Total people - age group","Total people - sex","2018",126,
"Ellerslie East","Bicycle","Total people - age group","Total people - sex","2018",36,
"Ellerslie East","Walk or jog","Total people - age group","Total people - sex","2018",48,
"Ellerslie East","Ferry","Total people - age group","Total people - sex","2018",3,
"Ellerslie East","Other","Total people - age group","Total people - sex","2018",36,
"Oneroa West","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",813,
"Oneroa West","Work at home","Total people - age group","Total people - sex","2018",171,
"Oneroa West","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",264,
"Oneroa West","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",51,
"Oneroa West","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",24,
"Oneroa West","Public bus","Total people - age group","Total people - sex","2018",15,
"Ellerslie South","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1671,
"Ellerslie South","Work at home","Total people - age group","Total people - sex","2018",114,
"Ellerslie South","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",918,
"Ellerslie South","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",165,
"Ellerslie South","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",60,
"Ellerslie South","Public bus","Total people - age group","Total people - sex","2018",117,
"Ellerslie South","Train","Total people - age group","Total people - sex","2018",168,
"Ellerslie South","Bicycle","Total people - age group","Total people - sex","2018",27,
"Ellerslie South","Walk or jog","Total people - age group","Total people - sex","2018",81,
"Ellerslie South","Ferry","Total people - age group","Total people - sex","2018",0,
"Stonefields West","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1161,
"Stonefields West","Work at home","Total people - age group","Total people - sex","2018",126,
"Stonefields West","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",711,
"Stonefields West","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",129,
"Stonefields West","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",24,
"Stonefields West","Public bus","Total people - age group","Total people - sex","2018",33,
"Stonefields West","Train","Total people - age group","Total people - sex","2018",105,
"Stonefields West","Bicycle","Total people - age group","Total people - sex","2018",9,
"Stonefields West","Walk or jog","Total people - age group","Total people - sex","2018",9,
"Stonefields West","Ferry","Total people - age group","Total people - sex","2018",0,
"Onehunga Central","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1836,
"Onehunga Central","Work at home","Total people - age group","Total people - sex","2018",105,
"Onehunga Central","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",1053,
"Onehunga Central","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",156,
"Onehunga Central","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",69,
"Onehunga Central","Public bus","Total people - age group","Total people - sex","2018",153,
"Onehunga Central","Train","Total people - age group","Total people - sex","2018",123,
"Onehunga Central","Bicycle","Total people - age group","Total people - sex","2018",27,
"Onehunga Central","Walk or jog","Total people - age group","Total people - sex","2018",120,
"Onehunga Central","Ferry","Total people - age group","Total people - sex","2018",0,
"Glendowie South","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",2124,
"Glendowie South","Work at home","Total people - age group","Total people - sex","2018",249,
"Glendowie South","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",1281,
"Glendowie South","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",204,
"Glendowie South","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",81,
"Glendowie South","Public bus","Total people - age group","Total people - sex","2018",129,
"Glendowie South","Train","Total people - age group","Total people - sex","2018",66,
"Glendowie South","Bicycle","Total people - age group","Total people - sex","2018",36,
"Glendowie South","Walk or jog","Total people - age group","Total people - sex","2018",57,
"Glendowie South","Ferry","Total people - age group","Total people - sex","2018",0,
"Oranga","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1398,
"Oranga","Work at home","Total people - age group","Total people - sex","2018",87,
"Oranga","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",849,
"Oranga","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",99,
"Oranga","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",108,
"Oranga","Public bus","Total people - age group","Total people - sex","2018",90,
"Oranga","Train","Total people - age group","Total people - sex","2018",69,
"Oranga","Bicycle","Total people - age group","Total people - sex","2018",9,
"Oranga","Walk or jog","Total people - age group","Total people - sex","2018",57,
"Oranga","Ferry","Total people - age group","Total people - sex","2018",0,
"Mount Wellington North West","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1563,
"Mount Wellington North West","Work at home","Total people - age group","Total people - sex","2018",96,
"Mount Wellington North West","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",942,
"Mount Wellington North West","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",138,
"Mount Wellington North West","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",30,
"Mount Wellington North West","Public bus","Total people - age group","Total people - sex","2018",177,
"Onehunga-Te Papapa Industrial","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",510,
"Onehunga-Te Papapa Industrial","Work at home","Total people - age group","Total people - sex","2018",48,
"Onehunga-Te Papapa Industrial","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",294,
"Onehunga-Te Papapa Industrial","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",51,
"Onehunga-Te Papapa Industrial","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",6,
"Onehunga-Te Papapa Industrial","Public bus","Total people - age group","Total people - sex","2018",18,
"Onehunga-Te Papapa Industrial","Train","Total people - age group","Total people - sex","2018",60,
"Onehunga-Te Papapa Industrial","Bicycle","Total people - age group","Total people - sex","2018",6,
"Onehunga-Te Papapa Industrial","Walk or jog","Total people - age group","Total people - sex","2018",18,
"Onehunga-Te Papapa Industrial","Ferry","Total people - age group","Total people - sex","2018",0,
"Stonefields East","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1062,
"Stonefields East","Work at home","Total people - age group","Total people - sex","2018",111,
"Stonefields East","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",669,
"Stonefields East","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",105,
"Stonefields East","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",18,
"Stonefields East","Public bus","Total people - age group","Total people - sex","2018",24,
"Stonefields East","Train","Total people - age group","Total people - sex","2018",108,
"Glen Innes East-Wai O Taiki Bay","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1494,
"Glen Innes East-Wai O Taiki Bay","Work at home","Total people - age group","Total people - sex","2018",102,
"Glen Innes East-Wai O Taiki Bay","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",885,
"Glen Innes East-Wai O Taiki Bay","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",132,
"Glen Innes East-Wai O Taiki Bay","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",108,
"Glen Innes East-Wai O Taiki Bay","Public bus","Total people - age group","Total people - sex","2018",102,
"Glen Innes East-Wai O Taiki Bay","Train","Total people - age group","Total people - sex","2018",90,
"Penrose","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",456,
"Penrose","Work at home","Total people - age group","Total people - sex","2018",36,
"Penrose","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",261,
"Penrose","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",48,
"Penrose","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",21,
"Penrose","Public bus","Total people - age group","Total people - sex","2018",27,
"Penrose","Train","Total people - age group","Total people - sex","2018",24,
"Mount Wellington North East","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1215,
"Mount Wellington North East","Work at home","Total people - age group","Total people - sex","2018",81,
"Mount Wellington North East","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",741,
"Mount Wellington North East","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",111,
"Mount Wellington North East","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",39,
"Mount Wellington North East","Public bus","Total people - age group","Total people - sex","2018",81,
"Mount Wellington North East","Train","Total people - age group","Total people - sex","2018",93,
"Mount Wellington Ferndale","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",2379,
"Mount Wellington Ferndale","Work at home","Total people - age group","Total people - sex","2018",126,
"Mount Wellington Ferndale","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",1512,
"Mount Wellington Ferndale","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",192,
"Mount Wellington Ferndale","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",105,
"Mount Wellington Ferndale","Public bus","Total people - age group","Total people - sex","2018",210,
"Mount Wellington Ferndale","Train","Total people - age group","Total people - sex","2018",105,
"Mount Wellington Ferndale","Bicycle","Total people - age group","Total people - sex","2018",18,
"Mount Wellington Ferndale","Walk or jog","Total people - age group","Total people - sex","2018",72,
"Mount Wellington Ferndale","Ferry","Total people - age group","Total people - sex","2018",0,
"Bucklands Beach North","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1521,
"Bucklands Beach North","Work at home","Total people - age group","Total people - sex","2018",171,
"Bucklands Beach North","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",936,
"Bucklands Beach North","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",216,
"Bucklands Beach North","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",42,
"Bucklands Beach North","Public bus","Total people - age group","Total people - sex","2018",51,
"Mount Wellington East","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1455,
"Mount Wellington East","Work at home","Total people - age group","Total people - sex","2018",72,
"Mount Wellington East","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",912,
"Mount Wellington East","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",96,
"Mount Wellington East","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",57,
"Mount Wellington East","Public bus","Total people - age group","Total people - sex","2018",123,
"Mount Wellington East","Train","Total people - age group","Total people - sex","2018",96,
"Mount Wellington East","Bicycle","Total people - age group","Total people - sex","2018",9,
"Mount Wellington East","Walk or jog","Total people - age group","Total people - sex","2018",60,
"Mount Wellington East","Ferry","Total people - age group","Total people - sex","2018",0,
"Mount Wellington West","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1713,
"Mount Wellington West","Work at home","Total people - age group","Total people - sex","2018",96,
"Mount Wellington West","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",1116,
"Mount Wellington West","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",162,
"Mount Wellington West","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",81,
"Mount Wellington West","Public bus","Total people - age group","Total people - sex","2018",75,
"Mount Wellington West","Train","Total people - age group","Total people - sex","2018",90,
"Mount Wellington West","Bicycle","Total people - age group","Total people - sex","2018",18,
"Mount Wellington West","Walk or jog","Total people - age group","Total people - sex","2018",54,
"Mount Wellington West","Ferry","Total people - age group","Total people - sex","2018",0,
"Panmure West","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",141,
"Panmure West","Work at home","Total people - age group","Total people - sex","2018",9,
"Panmure West","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",81,
"Panmure West","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",9,
"Panmure West","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",3,
"Panmure West","Public bus","Total people - age group","Total people - sex","2018",15,
"Mangere Bridge","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1521,
"Mangere Bridge","Work at home","Total people - age group","Total people - sex","2018",111,
"Mangere Bridge","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",996,
"Mangere Bridge","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",174,
"Mangere Bridge","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",54,
"Mangere Bridge","Public bus","Total people - age group","Total people - sex","2018",72,
"Mangere Bridge","Train","Total people - age group","Total people - sex","2018",42,
"Mangere Bridge","Bicycle","Total people - age group","Total people - sex","2018",21,
"Mangere Bridge","Walk or jog","Total people - age group","Total people - sex","2018",27,
"Mangere Bridge","Ferry","Total people - age group","Total people - sex","2018",3,
"Oneroa East-Palm Beach","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",666,
"Oneroa East-Palm Beach","Work at home","Total people - age group","Total people - sex","2018",108,
"Oneroa East-Palm Beach","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",261,
"Oneroa East-Palm Beach","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",54,
"Oneroa East-Palm Beach","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",12,
"Oneroa East-Palm Beach","Public bus","Total people - age group","Total people - sex","2018",21,
"Oneroa East-Palm Beach","Train","Total people - age group","Total people - sex","2018",3,
"Oneroa East-Palm Beach","Bicycle","Total people - age group","Total people - sex","2018",15,
"Oneroa East-Palm Beach","Walk or jog","Total people - age group","Total people - sex","2018",21,
"Oneroa East-Palm Beach","Ferry","Total people - age group","Total people - sex","2018",153,
"Panmure East","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",1836,
"Panmure East","Work at home","Total people - age group","Total people - sex","2018",96,
"Panmure East","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",1125,
"Panmure East","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",132,
"Panmure East","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",81,
"Panmure East","Public bus","Total people - age group","Total people - sex","2018",114,
"Bays Waiheke Island","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",0,
