Area,Main means of travel to work,Age group,Sex,Year,Value,Flags
"Kihikihi Central","Train","Total people - age group","Total people - sex","2018",0,
"Kihikihi Central","Bicycle","Total people - age group","Total people - sex","2018",3,
"Maungatautari","Work at home","Total people - age group","Total people - sex","2018",153,
"Maungatautari","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",102,
"Maungatautari","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",30,
"Maungatautari","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",0,
"Maungatautari","Train","Total people - age group","Total people - sex","2018",0,
"Maungatautari","Bicycle","Total people - age group","Total people - sex","2018",9,
"Rotongata","Work at home","Total people - age group","Total people - sex","2018",213,
"Rotongata","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",45,
"Rotongata","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",15,
"Rotongata","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",6,
"Rotongata","Train","Total people - age group","Total people - sex","2018",0,
"Rotongata","Bicycle","Total people - age group","Total people - sex","2018",3,
"Inlets Otorohanga District","Work at home","Total people - age group","Total people - sex","2018",,c
"Inlets Otorohanga District","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",,c
"Inlets Otorohanga District","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",,c
"Inlets Otorohanga District","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",,c
"Inlets Otorohanga District","Train","Total people - age group","Total people - sex","2018",,c
"Inlets Otorohanga District","Bicycle","Total people - age group","Total people - sex","2018",,c
"Pirongia Forest","Work at home","Total people - age group","Total people - sex","2018",144,
"Pirongia Forest","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",39,
"Pirongia Forest","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",9,
"Pirongia Forest","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",0,
"Pirongia Forest","Train","Total people - age group","Total people - sex","2018",0,
"Pirongia Forest","Bicycle","Total people - age group","Total people - sex","2018",3,
"Honikiwi","Work at home","Total people - age group","Total people - sex","2018",279,
"Honikiwi","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",57,
"Honikiwi","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",27,
"Honikiwi","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",6,
"Honikiwi","Train","Total people - age group","Total people - sex","2018",0,
"Honikiwi","Bicycle","Total people - age group","Total people - sex","2018",0,
"Te Kawa","Work at home","Total people - age group","Total people - sex","2018",201,
"Te Kawa","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",60,
"Te Kawa","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",21,
"Te Kawa","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",0,
"Te Kawa","Train","Total people - age group","Total people - sex","2018",0,
"Te Kawa","Bicycle","Total people - age group","Total people - sex","2018",3,
"Otorohanga","Work at home","Total people - age group","Total people - sex","2018",117,
"Otorohanga","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",828,
"Otorohanga","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",171,
"Otorohanga","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",45,
"Otorohanga","Train","Total people - age group","Total people - sex","2018",0,
"Otorohanga","Bicycle","Total people - age group","Total people - sex","2018",9,
"Maihiihi","Work at home","Total people - age group","Total people - sex","2018",432,
"Maihiihi","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",135,
"Maihiihi","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",39,
"Maihiihi","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",9,
"Maihiihi","Train","Total people - age group","Total people - sex","2018",0,
"Maihiihi","Bicycle","Total people - age group","Total people - sex","2018",3,
"Puniu","Work at home","Total people - age group","Total people - sex","2018",345,
"Puniu","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",183,
"Puniu","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",24,
"Puniu","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",6,
"Puniu","Train","Total people - age group","Total people - sex","2018",0,
"Puniu","Bicycle","Total people - age group","Total people - sex","2018",0,
"Tirau","Work at home","Total people - age group","Total people - sex","2018",390,
"Tirau","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",297,
"Tirau","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",63,
"Tirau","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",15,
"Tirau","Train","Total people - age group","Total people - sex","2018",0,
"Tirau","Bicycle","Total people - age group","Total people - sex","2018",0,
"Putararu Rural","Work at home","Total people - age group","Total people - sex","2018",486,
"Putararu Rural","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",282,
"Putararu Rural","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",51,
"Putararu Rural","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",21,
"Putararu Rural","Train","Total people - age group","Total people - sex","2018",0,
"Putararu Rural","Bicycle","Total people - age group","Total people - sex","2018",6,
"Putararu","Work at home","Total people - age group","Total people - sex","2018",144,
"Putararu","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",825,
"Putararu","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",195,
"Putararu","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",54,
"Putararu","Train","Total people - age group","Total people - sex","2018",0,
"Putararu","Bicycle","Total people - age group","Total people - sex","2018",6,
"Kinleith","Work at home","Total people - age group","Total people - sex","2018",333,
"Kinleith","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",600,
"Kinleith","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",84,
"Kinleith","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",42,
"Kinleith","Train","Total people - age group","Total people - sex","2018",0,
"Kinleith","Bicycle","Total people - age group","Total people - sex","2018",24,
"Paraonui","Work at home","Total people - age group","Total people - sex","2018",63,
"Paraonui","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",102,
"Paraonui","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",18,
"Paraonui","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",12,
"Paraonui","Train","Total people - age group","Total people - sex","2018",0,
"Paraonui","Bicycle","Total people - age group","Total people - sex","2018",0,
"Parkdale","Work at home","Total people - age group","Total people - sex","2018",39,
"Parkdale","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",12,
"Parkdale","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",3,
"Parkdale","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",3,
"Parkdale","Train","Total people - age group","Total people - sex","2018",0,
"Parkdale","Bicycle","Total people - age group","Total people - sex","2018",0,
"Matarawa","Work at home","Total people - age group","Total people - sex","2018",60,
"Matarawa","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",96,
"Matarawa","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",12,
"Matarawa","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",15,
"Matarawa","Train","Total people - age group","Total people - sex","2018",0,
"Matarawa","Bicycle","Total people - age group","Total people - sex","2018",3,
"Stanley Park","Work at home","Total people - age group","Total people - sex","2018",66,
"Stanley Park","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",45,
"Stanley Park","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",6,
"Stanley Park","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",6,
"Stanley Park","Train","Total people - age group","Total people - sex","2018",0,
"Stanley Park","Bicycle","Total people - age group","Total people - sex","2018",0,
"Strathmore (South Waikato District)","Work at home","Total people - age group","Total people - sex","2018",69,
"Strathmore (South Waikato District)","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",126,
"Strathmore (South Waikato District)","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",3,
"Strathmore (South Waikato District)","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",12,
"Strathmore (South Waikato District)","Train","Total people - age group","Total people - sex","2018",0,
"Strathmore (South Waikato District)","Bicycle","Total people - age group","Total people - sex","2018",0,
"Tokoroa Central","Work at home","Total people - age group","Total people - sex","2018",39,
"Tokoroa Central","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",1212,
"Tokoroa Central","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",306,
"Tokoroa Central","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",102,
"Tokoroa Central","Train","Total people - age group","Total people - sex","2018",0,
"Tokoroa Central","Bicycle","Total people - age group","Total people - sex","2018",21,
"Moananui","Work at home","Total people - age group","Total people - sex","2018",84,
"Moananui","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",102,
"Moananui","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",18,
"Moananui","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",6,
"Moananui","Train","Total people - age group","Total people - sex","2018",0,
"Moananui","Bicycle","Total people - age group","Total people - sex","2018",0,
"Inlet Waitomo District","Work at home","Total people - age group","Total people - sex","2018",,c
"Inlet Waitomo District","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",,c
"Inlet Waitomo District","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",,c
"Inlet Waitomo District","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",,c
"Inlet Waitomo District","Train","Total people - age group","Total people - sex","2018",,c
"Inlet Waitomo District","Bicycle","Total people - age group","Total people - sex","2018",,c
"Herangi","Work at home","Total people - age group","Total people - sex","2018",243,
"Herangi","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",132,
"Herangi","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",21,
"Herangi","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",15,
"Herangi","Train","Total people - age group","Total people - sex","2018",0,
"Herangi","Bicycle","Total people - age group","Total people - sex","2018",0,
"Hangatiki","Work at home","Total people - age group","Total people - sex","2018",210,
"Hangatiki","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",240,
"Hangatiki","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",39,
"Hangatiki","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",27,
"Hangatiki","Train","Total people - age group","Total people - sex","2018",0,
"Hangatiki","Bicycle","Total people - age group","Total people - sex","2018",3,
"Aria","Work at home","Total people - age group","Total people - sex","2018",240,
"Aria","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",171,
"Aria","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",51,
"Aria","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",12,
"Aria","Train","Total people - age group","Total people - sex","2018",0,
"Aria","Bicycle","Total people - age group","Total people - sex","2018",0,
"Te Kuiti West","Work at home","Total people - age group","Total people - sex","2018",123,
"Te Kuiti West","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",318,
"Te Kuiti West","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",69,
"Te Kuiti West","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",15,
"Te Kuiti West","Train","Total people - age group","Total people - sex","2018",0,
"Te Kuiti West","Bicycle","Total people - age group","Total people - sex","2018",0,
"Te Kuiti East","Work at home","Total people - age group","Total people - sex","2018",60,
"Te Kuiti East","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",777,
"Te Kuiti East","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",141,
"Te Kuiti East","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",78,
"Te Kuiti East","Train","Total people - age group","Total people - sex","2018",0,
"Te Kuiti East","Bicycle","Total people - age group","Total people - sex","2018",18,
"Waipa Valley","Work at home","Total people - age group","Total people - sex","2018",288,
"Waipa Valley","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",87,
"Waipa Valley","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",33,
"Waipa Valley","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",18,
"Waipa Valley","Train","Total people - age group","Total people - sex","2018",0,
"Waipa Valley","Bicycle","Total people - age group","Total people - sex","2018",0,
"Tiroa","Work at home","Total people - age group","Total people - sex","2018",6,
"Tiroa","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",63,
"Tiroa","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",9,
"Tiroa","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",15,
"Tiroa","Train","Total people - age group","Total people - sex","2018",0,
"Tiroa","Bicycle","Total people - age group","Total people - sex","2018",0,
"Marotiri","Work at home","Total people - age group","Total people - sex","2018",357,
"Marotiri","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",309,
"Marotiri","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",60,
"Marotiri","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",24,
"Marotiri","Train","Total people - age group","Total people - sex","2018",0,
"Marotiri","Bicycle","Total people - age group","Total people - sex","2018",6,
"Ohakuri","Work at home","Total people - age group","Total people - sex","2018",273,
"Ohakuri","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",168,
"Ohakuri","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",63,
"Ohakuri","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",18,
"Ohakuri","Train","Total people - age group","Total people - sex","2018",0,
"Ohakuri","Bicycle","Total people - age group","Total people - sex","2018",3,
"Lake Taupo Bays","Work at home","Total people - age group","Total people - sex","2018",195,
"Lake Taupo Bays","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",240,
"Lake Taupo Bays","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",45,
"Lake Taupo Bays","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",24,
"Lake Taupo Bays","Train","Total people - age group","Total people - sex","2018",0,
"Lake Taupo Bays","Bicycle","Total people - age group","Total people - sex","2018",6,
"Mapara","Work at home","Total people - age group","Total people - sex","2018",249,
"Mapara","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",138,
"Mapara","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",90,
"Mapara","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",12,
"Mapara","Train","Total people - age group","Total people - sex","2018",0,
"Mapara","Bicycle","Total people - age group","Total people - sex","2018",3,
"Inland water Lake Taupo","Work at home","Total people - age group","Total people - sex","2018",,c
"Inland water Lake Taupo","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",,c
"Inland water Lake Taupo","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",,c
"Inland water Lake Taupo","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",,c
"Inland water Lake Taupo","Train","Total people - age group","Total people - sex","2018",,c
"Inland water Lake Taupo","Bicycle","Total people - age group","Total people - sex","2018",,c
"Wairakei-Broadlands","Work at home","Total people - age group","Total people - sex","2018",117,
"Wairakei-Broadlands","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",513,
"Wairakei-Broadlands","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",75,
"Wairakei-Broadlands","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",33,
"Wairakei-Broadlands","Train","Total people - age group","Total people - sex","2018",0,
"Wairakei-Broadlands","Bicycle","Total people - age group","Total people - sex","2018",9,
"Acacia Bay","Work at home","Total people - age group","Total people - sex","2018",180,
"Acacia Bay","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",57,
"Acacia Bay","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",24,
"Acacia Bay","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",6,
"Acacia Bay","Train","Total people - age group","Total people - sex","2018",0,
"Acacia Bay","Bicycle","Total people - age group","Total people - sex","2018",0,
"Brentwood (Taupo District)","Work at home","Total people - age group","Total people - sex","2018",138,
"Brentwood (Taupo District)","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",72,
"Brentwood (Taupo District)","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",39,
"Brentwood (Taupo District)","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",12,
"Brentwood (Taupo District)","Train","Total people - age group","Total people - sex","2018",0,
"Brentwood (Taupo District)","Bicycle","Total people - age group","Total people - sex","2018",0,
"Nukuhau-Rangatira Park","Work at home","Total people - age group","Total people - sex","2018",153,
"Nukuhau-Rangatira Park","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",96,
"Nukuhau-Rangatira Park","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",45,
"Nukuhau-Rangatira Park","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",12,
"Nukuhau-Rangatira Park","Train","Total people - age group","Total people - sex","2018",0,
"Nukuhau-Rangatira Park","Bicycle","Total people - age group","Total people - sex","2018",3,
"Taupo Central West","Work at home","Total people - age group","Total people - sex","2018",36,
"Taupo Central West","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",2607,
"Taupo Central West","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",423,
"Taupo Central West","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",174,
"Taupo Central West","Train","Total people - age group","Total people - sex","2018",0,
"Taupo Central West","Bicycle","Total people - age group","Total people - sex","2018",72,
"Tauhara","Work at home","Total people - age group","Total people - sex","2018",105,
"Tauhara","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",1185,
"Tauhara","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",492,
"Tauhara","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",66,
"Tauhara","Train","Total people - age group","Total people - sex","2018",0,
"Tauhara","Bicycle","Total people - age group","Total people - sex","2018",24,
"Taupo Central East","Work at home","Total people - age group","Total people - sex","2018",162,
"Taupo Central East","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",279,
"Taupo Central East","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",33,
"Taupo Central East","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",12,
"Taupo Central East","Train","Total people - age group","Total people - sex","2018",0,
"Taupo Central East","Bicycle","Total people - age group","Total people - sex","2018",6,
"Mountview","Work at home","Total people - age group","Total people - sex","2018",165,
"Mountview","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",258,
"Mountview","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",69,
