Area,Ethnic group,Number of languages spoken,Age group,Sex,Year,Value,Flags
"Meadowbank West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",201,
"Meadowbank West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2124,
"Mount Wellington North East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",162,
"Mangere Bridge Ambury","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",624,
"Mount Wellington Ferndale","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",417,
"Point England","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1305,
"Bucklands Beach North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",99,
"Mount Wellington East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",252,
"Mount Wellington West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",411,
"Panmure West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",30,
"Mangere Bridge","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",594,
"Oneroa East-Palm Beach","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",135,
"Tamaki","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1092,
"Panmure East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",483,
"Mount Wellington Central","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",594,
"Bays Waiheke Island","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Sylvia Park","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",6,
"Favona East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",468,
"Mount Wellington South East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",558,
"Otahuhu Industrial","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3,
"Bucklands Beach South","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",159,
"Te Akau","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",417,
"Inlets Waikato District","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Inlets Waikato District","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Te Kauwhata","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1260,
"Te Kauwhata","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",372,
"Huntly Rural","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1839,
"Huntly Rural","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",660,
"Waerenga","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",828,
"Waerenga","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",138,
"Huntly West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1098,
"Huntly West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2367,
"Huntly East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1845,
"Hamilton Park","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",177,
"Raglan","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2718,
"Raglan","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",870,
"Whitikahu","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1611,
"Whitikahu","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",258,
"Te Uku","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2427,
"Te Uku","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",567,
"Taupiri-Lake Kainui","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1707,
"Taupiri-Lake Kainui","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",642,
"Ngaruawahia North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",741,
"Ngaruawahia North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1242,
"Ngaruawahia Central","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1680,
"Ngaruawahia Central","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1626,
"Ngaruawahia South","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1170,
"Ngaruawahia South","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1017,
"Mangere Mountain View","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",723,
"Surfdale","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",234,
"Mount Wellington Industrial","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",0,
"Half Moon Bay West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",117,
"Auckland Airport","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",309,
"Eastern Beach","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",84,
"Sunnyhills West-Pakuranga North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",246,
"Favona North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",492,
"Bucklands Beach Central","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",36,
"Farm Cove","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",129,
"Mangere North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",426,
"Favona West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",417,
"Ostend","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",231,
"Half Moon Bay North East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",54,
"Mangere West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",831,
"Pakuranga West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",552,
"Mount Wellington South West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",357,
"Sunnyhills East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",183,
"Half Moon Bay South East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",234,
"Kainui-Gordonton","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1425,
"Kainui-Gordonton","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",249,
"Te Kowhai","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1881,
"Te Kowhai","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",261,
"Whatawhata West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",468,
"Whatawhata West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",96,
"Horotiu","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",489,
"Horotiu","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",213,
"Horsham Downs","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",597,
"Horsham Downs","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",57,
"Whatawhata East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2292,
"Whatawhata East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",585,
"Rotokauri","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",915,
"Rotokauri","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",117,
"Hamilton Park","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1431,
"Huntly East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2907,
"Eureka-Tauwhare","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1914,
"Eureka-Tauwhare","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",204,
"Tamahere North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3552,
"Tamahere North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",357,
"Pukemoremore","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1932,
"Pukemoremore","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",498,
"Tamahere South","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1833,
"Tamahere South","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",162,
"Tahuna-Mangateparu","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1404,
"Tahuna-Mangateparu","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",207,
"Mangaiti","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1191,
"Mangaiti","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",195,
"Tatuanui","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1212,
"Tatuanui","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",201,
"Tahuroa","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1569,
"Tahuroa","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",216,
"Morrinsville East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",4167,
"Morrinsville East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",663,
"Morrinsville West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2304,
"Morrinsville West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",741,
"Te Aroha East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2073,
"Te Aroha East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",552,
"Te Aroha West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1788,
"Te Aroha West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",252,
"Waihou-Manawaru","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1044,
"Waihou-Manawaru","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",153,
"Waitoa-Ngarua","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",927,
"Waitoa-Ngarua","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",156,
"Richmond Downs-Wardville","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1071,
"Richmond Downs-Wardville","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",201,
"Waharoa-Peria","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1029,
"Waharoa-Peria","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",552,
"Rototuna North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",429,
"Rototuna North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",129,
"Pukete West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1653,
"Pukete West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",546,
"Flagstaff East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2910,
"Flagstaff East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",354,
"Rototuna Central","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3102,
"Rototuna Central","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",510,
"Pukete East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1911,
"Pukete East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",357,
"Te Manatu","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2100,
"Miropiko","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2616,
"Miropiko","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",456,
"Porritt","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1449,
"Porritt","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",840,
"Dinsdale North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3135,
"Dinsdale North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1377,
"Maeroa","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2469,
"Maeroa","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1065,
"Dinsdale South","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2961,
"Dinsdale South","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1065,
"Fairfield (Hamilton City)","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2412,
"Fairfield (Hamilton City)","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1854,
"Whitiora","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1203,
"Whitiora","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",495,
"Enderley North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1059,
"Enderley North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1227,
"Fairview Downs","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1959,
"Fairview Downs","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",978,
"Temple View","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",675,
"Temple View","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",789,
"Swarbrick","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1173,
"Swarbrick","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",825,
"Kahikatea","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1995,
"Kahikatea","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1356,
"Te Manatu","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",426,
"Okauia","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",906,
"Okauia","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",144,
"Hinuera","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1056,
"Hinuera","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",114,
"Matamata North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2652,
"Matamata North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",474,
"Matamata South","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3942,
"Matamata South","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",753,
"Te Poi","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",708,
"Te Poi","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",156,
"Te Rapa North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",162,
"Te Rapa North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",33,
"Flagstaff North","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1890,
"Flagstaff North","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",261,
"Rotokauri-Waiwhakareke","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",411,
"Rotokauri-Waiwhakareke","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",81,
"Flagstaff South","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1839,
"Flagstaff South","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",273,
"Nawton East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2556,
"Mapara","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1842,
"Mapara","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",177,
"Inland water Lake Taupo","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Inland water Lake Taupo","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",,c
"Wairakei-Broadlands","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",924,
"Wairakei-Broadlands","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",453,
"Acacia Bay","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1569,
"Acacia Bay","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",162,
"Brentwood (Taupo District)","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1617,
"Brentwood (Taupo District)","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",276,
"Nukuhau-Rangatira Park","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1968,
"Nukuhau-Rangatira Park","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",546,
"Taupo Central West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",252,
"Taupo Central West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",81,
"Tauhara","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1191,
"Tauhara","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",879,
"Taupo Central East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1533,
"Taupo Central East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",924,
"Mountview","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1890,
"Mountview","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",915,
"Bird Area","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1902,
"Bird Area","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",354,
"Hilltop (Taupo District)","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2262,
"Hilltop (Taupo District)","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",645,
"Waipahihi","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1884,
"Waipahihi","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",354,
"Richmond Heights","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1908,
"Richmond Heights","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",588,
"Wharewaka","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",873,
"Wharewaka","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",72,
"Kaimanawa","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",108,
"Kaimanawa","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",87,
"Nawton East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1677,
"Chartwell","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1317,
"Chartwell","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",858,
"Forest Lake (Hamilton City)","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1833,
"Forest Lake (Hamilton City)","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",558,
"Chedworth","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1380,
"Chedworth","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",228,
"Beerescourt","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1761,
"Beerescourt","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",354,
"Rototuna South","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",3138,
"Rototuna South","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",447,
"Te Rapa South","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",81,
"Te Rapa South","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",30,
"Saint Andrews West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1947,
"Saint Andrews West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",852,
"Saint Andrews East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1992,
"Saint Andrews East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",396,
"Queenwood (Hamilton City)","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1959,
"Queenwood (Hamilton City)","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",306,
"St James","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1368,
"St James","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",198,
"Crawshaw","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1689,
"Crawshaw","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1632,
"Huntington","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1869,
"Huntington","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",216,
"Western Heights (Hamilton City)","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2106,
"Western Heights (Hamilton City)","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",444,
"Nawton West","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2238,
"Nawton West","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1014,
"Rotoorangi","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1548,
"Rotongata","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",648,
"Te Kawa","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1065,
"Tirau","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",2040,
"Paraonui","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1260,
"Strathmore (South Waikato District)","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1275,
"Te Kuiti East","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",915,
"Te Kuiti East","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1233,
"Waipa Valley","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",939,
"Waipa Valley","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",351,
"Marotiri","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1704,
"Marotiri","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",969,
"Ohakuri","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1512,
"Ohakuri","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",390,
"Lake Taupo Bays","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",1083,
"Lake Taupo Bays","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",642,
"Frankton Junction","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",351,
"Frankton Junction","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",144,
"Kirikiriroa","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",111,
"Kirikiriroa","Maori","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",72,
"Waitahanui","European","Total people - number of languages spoken","Total people - age group","Total people - sex","2018",468,
